State,Year,Fuel,PercentGen
Iowa,2001,Coal,0.852578765
Iowa,2002,Coal,0.831734387
Iowa,2003,Coal,0.85050812
Iowa,2004,Coal,0.815575287
Iowa,2005,Coal,0.775704321
Iowa,2006,Coal,0.756436471
Iowa,2007,Coal,0.762939605
Iowa,2008,Coal,0.761203308
Iowa,2009,Coal,0.720227536
Iowa,2010,Coal,0.717852858
Iowa,2011,Coal,0.678155822
Iowa,2012,Coal,0.623396559
Iowa,2013,Coal,0.587637416
Iowa,2014,Coal,0.593337203
Iowa,2015,Coal,0.526147655
Iowa,2016,Coal,0.467231216
Iowa,2001,Wind,0.012002263
Iowa,2002,Wind,0.021609293
Iowa,2003,Wind,0.023316554
Iowa,2004,Wind,0.024278579
Iowa,2005,Wind,0.037299574
Iowa,2006,Wind,0.050964096
Iowa,2007,Wind,0.055373677
Iowa,2008,Wind,0.076930322
Iowa,2009,Wind,0.143096799
Iowa,2010,Wind,0.159453303
Iowa,2011,Wind,0.189970198
Iowa,2012,Wind,0.24758712
Iowa,2013,Wind,0.274708405
Iowa,2014,Wind,0.286827432
Iowa,2015,Wind,0.315448561
Iowa,2016,Wind,0.365904404
Kansas,2001,Coal,0.709915305
Kansas,2002,Coal,0.74953378
Kansas,2003,Coal,0.753951211
Kansas,2004,Coal,0.739435265
Kansas,2005,Coal,0.751826091
Kansas,2006,Coal,0.731064933
Kansas,2007,Coal,0.723235306
Kansas,2008,Coal,0.729208664
Kansas,2009,Coal,0.690768473
Kansas,2010,Coal,0.678261414
Kansas,2011,Coal,0.697883598
Kansas,2012,Coal,0.629893078
Kansas,2013,Coal,0.614094444
Kansas,2014,Coal,0.578185328
Kansas,2015,Coal,0.540184945
Kansas,2016,Coal,0.484142123
Kansas,2001,Wind,0.000893875
Kansas,2002,Wind,0.009896584
Kansas,2003,Wind,0.007859474
Kansas,2004,Wind,0.007673728
Kansas,2005,Wind,0.009288533
Kansas,2006,Wind,0.021790704
Kansas,2007,Wind,0.023003871
Kansas,2008,Wind,0.037722496
Kansas,2009,Wind,0.061336418
Kansas,2010,Wind,0.071049996
Kansas,2011,Wind,0.082010582
Kansas,2012,Wind,0.116938661
Kansas,2013,Wind,0.194603181
Kansas,2014,Wind,0.21808639
Kansas,2015,Wind,0.241592901
Kansas,2016,Wind,0.295839011
NorthDakota,2001,Coal,0.952030858
NorthDakota,2002,Coal,0.945888967
NorthDakota,2003,Coal,0.939499393
NorthDakota,2004,Coal,0.937466595
NorthDakota,2005,Coal,0.947577741
NorthDakota,2006,Coal,0.935170493
NorthDakota,2007,Coal,0.934025109
NorthDakota,2008,Coal,0.906430426
NorthDakota,2009,Coal,0.865803018
NorthDakota,2010,Coal,0.819286126
NorthDakota,2011,Coal,0.772776511
NorthDakota,2012,Coal,0.781010381
NorthDakota,2013,Coal,0.784592542
NorthDakota,2014,Coal,0.751282122
NorthDakota,2015,Coal,0.746400409
NorthDakota,2016,Coal,0.707492949
NorthDakota,2001,Wind,0
NorthDakota,2002,Wind,0
NorthDakota,2003,Wind,0.00188366
NorthDakota,2004,Wind,0.007181988
NorthDakota,2005,Wind,0.006889425
NorthDakota,2006,Wind,0.011949095
NorthDakota,2007,Wind,0.019888547
